frequency,geographical_region,age_group,sex,time_period,observation_value
Annual,Malta,40 - 44 years,Males,2022,22002
Annual,Malta,40 - 44 years,Males,2023,23505
Annual,Gozo,80 - 84 years,Males,2018,413
Annual,Gozo,80 - 84 years,Males,2019,418
Annual,Gozo,80 - 84 years,Males,2020,409
Annual,Gozo,80 - 84 years,Males,2021,406
Annual,Gozo,80 - 84 years,Males,2022,401
Annual,Gozo,80 - 84 years,Males,2023,445
Annual,Gozo,85 - 89 years,Males,2018,188
Annual,Gozo,85 - 89 years,Males,2019,200
Annual,Gozo,85 - 89 years,Males,2020,214
Annual,Gozo,85 - 89 years,Males,2021,222
Annual,Gozo,85 - 89 years,Males,2022,227
Annual,Gozo,85 - 89 years,Males,2023,223
Annual,Gozo,90 - 94 years,Males,2018,79
Annual,Gozo,90 - 94 years,Males,2019,82
Annual,Gozo,90 - 94 years,Males,2020,83
Annual,Gozo,90 - 94 years,Males,2021,80
Annual,Gozo,90 - 94 years,Males,2022,76
Annual,Gozo,90 - 94 years,Males,2023,91
Annual,Malta,0 - 14 years,Females,2018,29890
Annual,Malta,0 - 14 years,Females,2019,30396
Annual,Malta,0 - 14 years,Females,2020,30287
Annual,Malta,0 - 14 years,Females,2021,30221
Annual,Malta,0 - 14 years,Females,2022,30803
Annual,Malta,0 - 14 years,Females,2023,31077
Annual,Malta,0 - 4 years,Females,2018,10168
Annual,Malta,0 - 4 years,Females,2019,10334
Annual,Malta,0 - 4 years,Females,2020,10132
Annual,Malta,0 - 4 years,Females,2021,9967
Annual,Malta,0 - 4 years,Females,2022,10105
Annual,Malta,0 - 4 years,Females,2023,10099
Annual,Malta,65 years and over,Total,2018,82585
Annual,Malta,65 years and over,Total,2019,84957
Annual,Malta,65 years and over,Total,2020,86966
Annual,Malta,65 years and over,Total,2021,89239
Annual,Malta,65 years and over,Total,2022,91864
Annual,Malta,65 years and over,Total,2023,94235
Annual,Malta,100 years and over,Males,2018,3
Annual,Malta,100 years and over,Males,2019,4
Annual,Malta,100 years and over,Males,2020,3
Annual,Malta,100 years and over,Males,2021,4
Annual,Malta,100 years and over,Males,2022,2
Annual,Malta,100 years and over,Males,2023,4
Annual,Gozo,20 - 24 years,Males,2018,1155
Annual,Gozo,20 - 24 years,Males,2019,1207
Annual,Gozo,20 - 24 years,Males,2020,1191
Annual,Gozo,20 - 24 years,Males,2021,1152
Annual,Gozo,20 - 24 years,Males,2022,1217
Annual,Gozo,20 - 24 years,Males,2023,1182
Annual,Gozo,25 - 29 years,Males,2018,1359
Annual,Gozo,25 - 29 years,Males,2019,1521
Annual,Gozo,25 - 29 years,Males,2020,1558
Annual,Gozo,25 - 29 years,Males,2021,1609
Annual,Gozo,25 - 29 years,Males,2022,1744
Annual,Gozo,25 - 29 years,Males,2023,1760
Annual,Gozo,45 - 49 years,Females,2018,1006
Annual,Gozo,45 - 49 years,Females,2019,1081
Annual,Gozo,45 - 49 years,Females,2020,1126
Annual,Gozo,45 - 49 years,Females,2021,1152
Annual,Gozo,45 - 49 years,Females,2022,1169
Annual,Gozo,45 - 49 years,Females,2023,1161
Annual,Gozo,50 - 54 years,Total,2018,2332
Annual,Gozo,50 - 54 years,Total,2019,2389
Annual,Gozo,50 - 54 years,Total,2020,2356
Annual,Gozo,50 - 54 years,Total,2021,2409
Annual,Gozo,50 - 54 years,Total,2022,2448
Annual,Gozo,50 - 54 years,Total,2023,2515
